============================================================
Downloading Complete Jastrow Dictionary from Sefaria
Using sequential traversal via "next" links
============================================================

Starting from: Jastrow, א
Existing entries: 0

[0.0%] #1: "Jastrow, א"... OK (א)
[0.0%] #2: "Jastrow, א ²"... duplicate
[0.0%] #2: "Jastrow, א ³"... duplicate
[0.0%] #2: "Jastrow, א ⁴"... duplicate
[0.0%] #2: "Jastrow, א ⁵"... duplicate
[0.0%] #2: "Jastrow, א ⁶"... duplicate
[0.0%] #2: "Jastrow, א׳"... duplicate
[0.0%] #2: "Jastrow, אִ־"... duplicate
[0.0%] #2: "Jastrow, אַ־"... duplicate
[0.0%] #2: "Jastrow, אָאִין"... OK (אאין)
[0.0%] #3: "Jastrow, אאלר"ן"... OK (אאלרן)
[0.0%] #4: "Jastrow, אֲאָרָא"... OK (אארא)
[0.0%] #5: "Jastrow, אַב־"... OK (אב)
[0.0%] #6: "Jastrow, אָב I"... duplicate
[0.0%] #6: "Jastrow, אָב II"... duplicate
[0.0%] #6: "Jastrow, אָב II ²"... duplicate
[0.0%] #6: "Jastrow, אֵב"... duplicate
[0.0%] #6: "Jastrow, אַבָּא I"... OK (אבא)
[0.0%] #7: "Jastrow, אַבָּא II"... duplicate
[0.0%] #7: "Jastrow, אַבָּא III"... duplicate
[0.0%] #7: "Jastrow, אִבָּא"... duplicate
[0.0%] #7: "Jastrow, אַכְאָבִית"... OK (אכאבית)
[0.0%] #8: "Jastrow, אבאטיס"... OK (אבאטיס)
[0.0%] #9: "Jastrow, אַבְאָשׁוּתָא"... OK (אבאשותא)
[0.0%] #10: "Jastrow, אָבַב"... OK (אבב)
[0.0%] #11: "Jastrow, אֲבַב"... duplicate
[0.0%] #11: "Jastrow, אִבְּבָא"... OK (אבבא)
[0.0%] #12: "Jastrow, אֶבְגִּינוֹס"... OK (אבגינוס)
[0.0%] #13: "Jastrow, אֶבְגְּנִיסְטֵי"... OK (אבגניסטי)
[0.0%] #14: "Jastrow, אבגרוטינה"... OK (אבגרוטינה)
[0.0%] #15: "Jastrow, אָבַד"... OK (אבד)
[0.1%] #16: "Jastrow, אֲבַּד"... duplicate
